"Geslacht";"Leeftijd";"Nationaliteit";"Perioden";"Eerste asielverzoeken (personen) (aantal)";"Nareizigers (personen) (aantal)"
"Totaal mannen en vrouwen ";"Totaal";"Jemenitisch ";"2023 januari*";"     155";"      10"
"Totaal mannen en vrouwen ";"Totaal";"Jemenitisch ";"2023 februari*";"     150";"      20"
"Totaal mannen en vrouwen ";"Totaal";"Jemenitisch ";"2023 maart*";"     190";"      50"
"Totaal mannen en vrouwen ";"Totaal";"Jemenitisch ";"2023 april*";"     220";"      20"
"Totaal mannen en vrouwen ";"Totaal";"Marokkaans ";"2022 april";"      55";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Marokkaans ";"2022 mei";"      75";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Marokkaans ";"2022 juni";"      45";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Marokkaans ";"2022 juli";"      30";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Marokkaans ";"2022 augustus";"      45";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Marokkaans ";"2022 september";"      70";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Marokkaans ";"2022 oktober";"      65";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Marokkaans ";"2022 november";"      80";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Marokkaans ";"2022 december";"      65";"       5"
"Totaal mannen en vrouwen ";"Totaal";"Marokkaans ";"2023 januari*";"      95";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Marokkaans ";"2023 februari*";"      85";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Marokkaans ";"2023 maart*";"      65";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Marokkaans ";"2023 april*";"      50";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Nigeriaans ";"2022 april";"      50";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Nigeriaans ";"2022 mei";"      60";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Nigeriaans ";"2022 juni";"      30";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Nigeriaans ";"2022 juli";"      25";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Nigeriaans ";"2022 augustus";"      55";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Nigeriaans ";"2022 september";"      45";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Nigeriaans ";"2022 oktober";"      40";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Nigeriaans ";"2022 november";"      45";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Nigeriaans ";"2022 december";"      40";"       5"
"Totaal mannen en vrouwen ";"Totaal";"Nigeriaans ";"2023 januari*";"      40";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Nigeriaans ";"2023 februari*";"      50";"      10"
"Totaal mannen en vrouwen ";"Totaal";"Nigeriaans ";"2023 maart*";"      40";"       0"
